x,y,elevation,slope,aspect,plan_curvature,layer_0.50m,layer_0.75m,layer_1.00m,layer_1.25m,layer_1.50m,layer_2.00m,layer_2.50m,layer_3.00m,layer_3.50m,layer_4.00m,layer_4.50m,layer_5.00m
359373.7199727362,4308703.558294125,3150.017,0.0,-0.0,0.0,,,,,,,,,,,,
359381.7469446808,4308703.415509145,3147.13,0.0,-0.0,0.0,,,,,,,,,,,,
359389.773916546,4308703.272732319,3144.6902,0.0,-0.0,0.0,,,,,,,,,,,,
359397.80088833306,4308703.129963649,3142.515,0.0,-0.0,0.0,,,,,,,,,,,,
359405.82786004303,4308702.987203135,3140.542,0.0,-0.0,0.0,,,,,,,,,,,,
359413.85483167483,4308702.844450778,3138.707,0.0,-0.0,0.0,,,,,,,,,,,,
359421.88180322736,4308702.701706575,3136.859,0.0,-0.0,0.0,,,,,,,,,,,,
359429.90877470176,4308702.558970529,3135.127,0.0,-0.0,0.0,,,,,,,,,,,,
359437.93574609805,4308702.416242638,3133.6313,0.0,-0.0,0.0,,,,,,,,,,,,
359445.9627174172,4308702.273522902,3132.255,0.0,-0.0,0.0,,,,,,,,,,,,
359453.9896886583,4308702.130811323,3130.8499,0.0,-0.0,0.0,,,,,,,,,,,,
359462.0166598201,4308701.988107899,3129.3792,0.0,-0.0,0.0,,,,,,,,,,,,
359470.0436309037,4308701.845412632,3127.9824,0.0,-0.0,0.0,,,,,,,,,,,,
359478.07060191047,4308701.70272552,3126.6611,0.0,-0.0,0.0,,,,,,,,,,,,
359486.09757283784,4308701.560046562,3125.2483,0.0,-0.0,0.0,,,,,,,,,,,,
359494.12454368715,4308701.417375761,3123.6577,0.0,-0.0,0.0,,,,,,,,,,,,
359502.15151445835,4308701.274713117,3121.8953,0.0,-0.0,0.0,,,,,,,,,,,,
359510.17848515254,4308701.132058628,3119.9817,0.0,-0.0,0.0,,,,,,,,,,,,
359518.2054557686,4308700.989412294,3117.9062,0.0,-0.0,0.0,,,,,,,,,,,,
359526.23242630553,4308700.846774115,3115.867,0.0,-0.0,0.0,,,,,,,,,,,,
359534.25939676433,4308700.704144093,3114.1553,0.0,-0.0,0.0,,,,,,,,,,,,
359542.286367145,4308700.561522228,3112.5425,0.0,-0.0,0.0,,,,,,,,,,,,
359550.31333744875,4308700.418908516,3110.523,0.0,-0.0,0.0,,,,,,,,,,,,
359558.3403076743,4308700.276302962,3107.9568,0.0,-0.0,0.0,,,,,,,,,,,,
359566.3672778208,4308700.133705562,3105.1025,0.0,-0.0,0.0,,,,,,,,,,,,
359574.3942478891,4308699.991116319,3102.2546,0.0,-0.0,0.0,,,,,,,,,,,,
359582.42121788044,4308699.84853523,3099.634,0.0,-0.0,0.0,,,,,,,,,,,,
359590.4481877928,4308699.705962299,3096.8496,0.0,-0.0,0.0,,,,,,,,,,,,
359598.4751576269,4308699.563397522,3093.8577,0.0,-0.0,0.0,,,,,,,,,,,,
359606.502127383,4308699.420840901,3091.0164,0.0,-0.0,0.0,,,,,,,,,,,,
359614.52909706323,4308699.278292435,3088.2446,0.0,-0.0,0.0,,,,,,,,,,,,
359622.55606666324,4308699.135752127,3084.9377,0.0,-0.0,0.0,,,,,,,,,,,,
359630.5830361852,4308698.993219973,3080.9526,0.0,-0.0,0.0,,,,,,,,,,,,
359638.6100056291,4308698.850695975,3076.9702,0.0,-0.0,0.0,,,,,,,,,,,,
359646.6369749961,4308698.708180133,3073.091,0.0,-0.0,0.0,,,,,,,,,,,,
359654.663944284,4308698.565672447,3068.7249,0.0,-0.0,0.0,,,,,,,,,,,,
359662.69091349485,4308698.423172915,3064.3394,0.0,-0.0,0.0,,,,,,,,,,,,
359670.71788262663,4308698.28068154,3059.9766,0.0,-0.0,0.0,,,,,,,,,,,,
359678.7448516815,4308698.138198321,3055.5251,0.0,-0.0,0.0,,,,,,,,,,,,
359686.7718206573,4308697.995723258,3051.1633,0.0,-0.0,0.0,,,,,,,,,,,,
359694.7987895551,4308697.853256349,3047.06,0.0,-0.0,0.0,,,,,,,,,,,,
359702.8257583748,4308697.710797597,3042.996,0.0,-0.0,0.0,,,,,,,,,,,,
359710.8527271188,4308697.568347,3039.4587,0.0,-0.0,0.0,,,,,,,,,,,,
359718.8796957825,4308697.425904561,3036.768,0.0,-0.0,0.0,,,,,,,,,,,,
359726.90666436835,4308697.283470275,3034.375,0.0,-0.0,0.0,,,,,,,,,,,,
359734.9336328761,4308697.1410441445,3031.7007,0.0,-0.0,0.0,,,,,,,,,,,,
359742.960601307,4308696.998626172,3029.2861,0.0,-0.0,0.0,,,,,,,,,,,,
359750.9875696588,4308696.856216353,3027.704,0.0,-0.0,0.0,,,,,,,,,,,,
359759.01453793264,4308696.713814691,3027.3037,0.0,-0.0,0.0,,,,,,,,,,,,
359767.04150612967,4308696.571421185,3027.6099,0.0,-0.0,0.0,,,,,,,,,,,,
359775.06847424875,4308696.429035833,3027.8384,0.0,-0.0,0.0,,,,,,,,,,,,
359783.0954422886,4308696.286658638,3028.0203,0.0,-0.0,0.0,,,,,,,,,,,,
359791.12241025065,4308696.144289598,3028.209,0.0,-0.0,0.0,,,,,,,,,,,,
359799.1493781347,4308696.001928713,3028.439,0.0,-0.0,0.0,,,,,,,,,,,,
359807.176345942,4308695.859575986,3028.7,0.0,-0.0,0.0,,,,,,,,,,,,
359815.2033136712,4308695.717231413,3028.968,0.0,-0.0,0.0,,,,,,,,,,,,
359823.2302813214,4308695.574894996,3029.261,0.0,-0.0,0.0,,,,,,,,,,,,
359831.25724889373,4308695.432566735,3029.5854,0.0,-0.0,0.0,,,,,,,,,,,,
359839.2842163892,4308695.290246629,3029.9526,0.0,-0.0,0.0,,,,,,,,,,,,
359847.31118380564,4308695.147934679,3030.3774,0.0,-0.0,0.0,,,,,,,,,,,,
359855.3381511441,4308695.005630886,3030.8623,0.0,-0.0,0.0,,,,,,,,,,,,
359863.3651184048,4308694.863335247,3031.3928,0.0,-0.0,0.0,,,,,,,,,,,,
359871.39208558964,4308694.721047764,3031.9526,0.0,-0.0,0.0,,,,,,,,,,,,
359879.41905269446,4308694.578768436,3032.5337,0.0,-0.0,0.0,,,,,,,,,,,,
359887.44601972133,4308694.4364972655,3033.128,0.0,-0.0,0.0,,,,,,,,,,,,
359895.4729866703,4308694.29423425,3033.731,0.0,-0.0,0.0,,,,,,,,,,,,
359903.49995354254,4308694.15197939,3034.346,0.0,-0.0,0.0,,,,,,,,,,,,
359911.52692033566,4308694.009732685,3034.973,0.0,-0.0,0.0,,,,,,,,,,,,
359919.5538870521,4308693.867494137,3035.6028,0.0,-0.0,0.0,,,,,,,,,,,,
359927.5808536896,4308693.725263744,3036.2275,0.0,-0.0,0.0,,,,,,,,,,,,
359935.6078202502,4308693.583041507,3036.7493,0.0,-0.0,0.0,,,,,,,,,,,,
359943.634786732,4308693.440827424,3037.3672,0.0,-0.0,0.0,,,,,,,,,,,,
359951.6617531358,4308693.298621498,3039.453,0.0,-0.0,0.0,,,,,,,,,,,,
359959.6887194618,4308693.156423728,3043.105,0.0,-0.0,0.0,,,,,,,,,,,,
359967.71568571206,4308693.0142341135,3047.3403,0.0,-0.0,0.0,,,,,,,,,,,,
359975.7426518823,4308692.872052655,3051.6162,0.0,-0.0,0.0,,,,,,,,,,,,
359983.7696179748,4308692.7298793495,3056.0293,0.0,-0.0,0.0,,,,,,,,,,,,
359991.7965839893,4308692.587714203,3060.2117,0.0,-0.0,0.0,,,,,,,,,,,,
359999.8235499271,4308692.445557211,3063.404,0.0,-0.0,0.0,,,,,,,,,,,,
360007.8505157861,4308692.303408374,3065.8972,0.0,-0.0,0.0,,,,,,,,,,,,
360015.8774815671,4308692.161267693,3068.473,0.0,-0.0,0.0,,,,,,,,,,,,
360023.90444727143,4308692.019135168,3071.028,0.0,-0.0,0.0,,,,,,,,,,,,
360031.93141289795,4308691.877010799,3073.5354,0.0,-0.0,0.0,,,,,,,,,,,,
360039.9583784456,4308691.734894585,3075.8672,0.0,-0.0,0.0,,,,,,,,,,,,
360047.9853439153,4308691.592786527,3078.0889,0.0,-0.0,0.0,,,,,,,,,,,,
360056.01230930735,4308691.450686623,3080.3945,0.0,-0.0,0.0,,,,,,,,,,,,
360064.03927462257,4308691.308594878,3082.7898,0.0,-0.0,0.0,,,,,,,,,,,,
360072.06623986,4308691.166511286,3085.1643,0.0,-0.0,0.0,,,,,,,,,,,,
360080.09320501867,4308691.024435852,3087.5447,0.0,-0.0,0.0,,,,,,,,,,,,
360088.1201700994,4308690.882368571,3090.006,0.0,-0.0,0.0,,,,,,,,,,,,
360096.14713510347,4308690.740309447,3092.498,0.0,-0.0,0.0,,,,,,,,,,,,
360104.1741000287,4308690.598258479,3094.9185,0.0,-0.0,0.0,,,,,,,,,,,,
360112.20106487616,4308690.456215665,3097.3228,0.0,-0.0,0.0,,,,,,,,,,,,
360120.22802964586,4308690.314181008,3099.7634,0.0,-0.0,0.0,,,,,,,,,,,,
360128.25499434,4308690.172154507,3102.2212,0.0,-0.0,0.0,,,,,,,,,,,,
360136.28195895406,4308690.030136161,3104.6428,0.0,-0.0,0.0,,,,,,,,,,,,
360144.30892349046,4308689.888125971,3107.0225,0.0,-0.0,0.0,,,,,,,,,,,,
360152.3358879491,4308689.746123935,3109.3682,0.0,-0.0,0.0,,,,,,,,,,,,
360160.3628523311,4308689.604130056,3111.0742,0.0,-0.0,0.0,,,,,,,,,,,,
360168.38981663424,4308689.462144333,3112.074,0.0,-0.0,0.0,,,,,,,,,,,,
360176.4167808606,4308689.320166766,3112.8254,0.0,-0.0,0.0,,,,,,,,,,,,
360184.4437450083,4308689.178197353,3113.588,0.0,-0.0,0.0,,,,,,,,,,,,
360192.4707090793,4308689.036236096,3114.6294,0.0,-0.0,0.0,,,,,,,,,,,,
360200.4976730715,4308688.894282996,3115.8328,0.0,-0.0,0.0,,,,,,,,,,,,
360208.524636986,4308688.752338051,3117.2004,0.0,-0.0,0.0,,,,,,,,,,,,
360216.5516008227,4308688.610401262,3118.7173,0.0,-0.0,0.0,,,,,,,,,,,,
360224.578564584,4308688.468472627,3120.155,0.0,-0.0,0.0,,,,,,,,,,,,
360232.60552826524,4308688.326552148,3121.4587,0.0,-0.0,0.0,,,,,,,,,,,,
360240.6324918689,4308688.1846398255,3122.7998,0.0,-0.0,0.0,,,,,,,,,,,,
360248.6594553948,4308688.042735659,3123.8584,0.0,-0.0,0.0,,,,,,,,,,,,
360256.6864188441,4308687.900839648,3124.504,0.0,-0.0,0.0,,,,,,,,,,,,
360264.71338221466,4308687.758951792,3125.1667,0.0,-0.0,0.0,,,,,,,,,,,,
360272.7403455074,4308687.617072091,3125.8347,0.0,-0.0,0.0,,,,,,,,,,,,
360280.76730872365,4308687.475200548,3126.174,0.0,-0.0,0.0,,,,,,,,,,,,
360288.7942718623,4308687.333337158,3126.3906,0.0,-0.0,0.0,,,,,,,,,,,,
360296.821234922,4308687.191481926,3126.7722,0.0,-0.0,0.0,,,,,,,,,,,,
360304.8481979042,4308687.049634848,3127.1553,0.0,-0.0,0.0,,,,,,,,,,,,
360312.87516080856,4308686.907795926,3127.4412,0.0,-0.0,0.0,,,,,,,,,,,,
360320.9021236365,4308686.765965159,3127.6104,0.0,-0.0,0.0,,,,,,,,,,,,
360328.9290863867,4308686.624142548,3127.718,0.0,-0.0,0.0,,,,,,,,,,,,
360336.95604905824,4308686.482328093,3127.8164,0.0,-0.0,0.0,,,,,,,,,,,,
360344.983011652,4308686.340521794,3127.8687,0.0,-0.0,0.0,,,,,,,,,,,,
360353.0099741693,4308686.19872365,3127.7683,0.0,-0.0,0.0,,,,,,,,,,,,
360361.0369366079,4308686.056933662,3127.5737,0.0,-0.0,0.0,,,,,,,,,,,,
360369.0638989688,4308685.915151829,3127.1973,0.0,-0.0,0.0,,,,,,,,,,,,
360377.090861252,4308685.773378152,3126.5427,0.0,-0.0,0.0,,,,,,,,,,,,
360385.1178234599,4308685.631612631,3125.671,0.0,-0.0,0.0,,,,,,,,,,,,
360393.144785588,4308685.489855265,3124.6692,0.0,-0.0,0.0,,,,,,,,,,,,
360401.1717476384,4308685.348106055,3123.6143,0.0,-0.0,0.0,,,,,,,,,,,,
360409.1987096112,4308685.206365,3122.2913,0.0,-0.0,0.0,,,,,,,,,,,,
360417.2256715075,4308685.064632101,3120.605,0.0,-0.0,0.0,,,,,,,,,,,,
360425.25263332506,4308684.922907358,3118.735,0.0,-0.0,0.0,,,,,,,,,,,,
360433.2795950662,4308684.78119077,3116.8108,0.0,-0.0,0.0,,,,,,,,,,,,
360441.30655672855,4308684.639482338,3114.993,0.0,-0.0,0.0,,,,,,,,,,,,
360449.3335183145,4308684.497782062,3113.1694,0.0,-0.0,0.0,,,,,,,,,,,,
360457.3604798218,4308684.35608994,3111.2427,0.0,-0.0,0.0,,,,,,,,,,,,
360465.38744125137,4308684.214405975,3109.228,0.0,-0.0,0.0,,,,,,,,,,,,
360473.4144026035,4308684.072730165,3107.0542,0.0,-0.0,0.0,,,,,,,,,,,,
360481.4413638801,4308683.931062511,3104.818,0.0,-0.0,0.0,,,,,,,,,,,,
360489.468325077,4308683.789403013,3102.5322,0.0,-0.0,0.0,,,,,,,,,,,,
360497.49528619647,4308683.64775167,3100.2532,0.0,-0.0,0.0,,,,,,,,,,,,
360505.5222472383,4308683.506108482,3097.992,0.0,-0.0,0.0,,,,,,,,,,,,
360513.5492082036,4308683.364473451,3095.538,0.0,-0.0,0.0,,,,,,,,,,,,
360521.5761690903,4308683.222846575,3092.8445,0.0,-0.0,0.0,,,,,,,,,,,,
360529.6031298994,4308683.081227855,3089.9949,0.0,-0.0,0.0,,,,,,,,,,,,
360537.6300906322,4308682.939617289,3087.1868,0.0,-0.0,0.0,,,,,,,,,,,,
360545.65705128736,4308682.798014879,3084.429,0.0,-0.0,0.0,,,,,,,,,,,,
360553.6840118639,4308682.656420626,3081.407,0.0,-0.0,0.0,,,,,,,,,,,,
360561.7109723629,4308682.514834528,3077.9841,0.0,-0.0,0.0,,,,,,,,,,,,
360569.7379327844,4308682.373256586,3074.6787,0.0,-0.0,0.0,,,,,,,,,,,,
360577.7648931295,4308682.231686799,3071.7278,0.0,-0.0,0.0,,,,,,,,,,,,
360585.791853397,4308682.090125168,3068.7944,0.0,-0.0,0.0,,,,,,,,,,,,
360593.8188135859,4308681.948571692,3065.6597,0.0,-0.0,0.0,,,,,,,,,,,,
360601.84577369737,4308681.807026372,3062.3738,0.0,-0.0,0.0,,,,,,,,,,,,
360609.87273373245,4308681.665489208,3058.754,0.0,-0.0,0.0,,,,,,,,,,,,
360617.8996936888,4308681.523960197,3054.8262,0.0,-0.0,0.0,,,,,,,,,,,,
360625.92665356776,4308681.382439344,3051.065,0.0,-0.0,0.0,,,,,,,,,,,,
360633.95361336926,4308681.240926647,3047.8062,0.0,-0.0,0.0,,,,,,,,,,,,
360641.9805730954,4308681.099422106,3044.697,0.0,-0.0,0.0,,,,,,,,,,,,
360650.007532742,4308680.957925718,3041.532,0.0,-0.0,0.0,,,,,,,,,,,,
360658.03449231095,4308680.816437487,3038.2905,0.0,-0.0,0.0,,,,,,,,,,,,
360666.0614518025,4308680.674957411,3034.8477,0.0,-0.0,0.0,,,,,,,,,,,,
360674.0884112177,4308680.533485492,3031.0906,0.0,-0.0,0.0,,,,,,,,,,,,
360682.1153705543,4308680.392021727,3027.2656,0.0,-0.0,0.0,,,,,,,,,,,,
360690.1423298146,4308680.250566118,3023.7983,0.0,-0.0,0.0,,,,,,,,,,,,
360698.1692889963,4308680.109118666,3020.5686,0.0,-0.0,0.0,,,,,,,,,,,,
360706.19624810165,4308679.967679367,3017.248,0.0,-0.0,0.0,,,,,,,,,,,,
360714.22320712847,4308679.826248226,3013.8855,0.0,-0.0,0.0,,,,,,,,,,,,
360722.25016607787,4308679.68482524,3010.5144,0.0,-0.0,0.0,,,,,,,,,,,,
360730.2771249498,4308679.543410408,3007.0627,0.0,-0.0,0.0,,,,,,,,,,,,
360738.3040837465,4308679.402003733,3003.6814,0.0,-0.0,0.0,,,,,,,,,,,,
360746.33104246366,4308679.260605213,3000.8074,0.0,-0.0,0.0,,,,,,,,,,,,
360754.3580011033,4308679.11921485,2998.6787,0.0,-0.0,0.0,,,,,,,,,,,,
360762.3849596656,4308678.9778326405,2996.9084,0.0,-0.0,0.0,,,,,,,,,,,,
360770.41191815154,4308678.836458587,2994.7795,0.0,-0.0,0.0,,,,,,,,,,,,
